coordinate aree GPS,,,,,,,,,coordinate lato di ingresso,,,
nome area,x1,y1,x2,y2,x3,y3,x4,y4,x1,y1,x2,y2
"area: ""1Q02""",165 330,126 526,169 700,122 123,172 475,124 879,168 105,129 281,168 105,129 281,172 475,124 879
"area: ""1Q03""",169 700,122 123,174 070,117 721,176 846,120 477,172 475,124 879,172 475,124 879,176 846,120 477
"area: ""1Q04""",174 070,117 721,178 441,113 319,181 216,116 075,176 846,120 477,176 846,120 477,181 216,116 075
"area: ""1T02""",171 019,130 502,175 305,126 183,180 824,131 659,176 538,135 979,175 305,126 183,171 018,130 502
"area: ""1T03""",175 305,126 183,179 591,121 863,185 110,127 340,180 824,131 659,179 591,121 863,175 305,126 183
"area: ""1T04""",179 591,121 863,183 876,117 543,189 396,123 021,185 110,127 340,183 876,117 543,179 591,121 863
"area: ""1T05""",183 876,117 543,188 162,113 224,193 683,118 702,189 396,123 021,188 162,113 224,183 876,117 543
"area: ""1T06""",188 162,113 224,192 448,108 904,197 969,114 382,193 683,118 702,192 448,108 904,188 162,113 224
"area: ""2R03""",337 128,24 097,341 804,23 790,341 571,20 342,336 939,20 654,337 128,24 105,341 804,23 790
"area: ""2R04""",341 804,23 790,346 479,23 483,346 247,20 035,341 615,20 347,341 804,23 790,346 479,23 483
"area: ""2R05""",346 479,23 483,351 155,23 176,350 923,19 727,346 291,20 040,346 479,23 483,351 155,23 176
"area: ""2R06""",351 155,23 176,355 831,22 869,355 599,19 420,350 967,19 733,351 155,23 176,355 834,22 920
"area: ""2R07""",355 831,22 869,360 507,22 562,360 275,19 113,355 643,19 425,355 834,22 920,360 507,22 562
"area: ""2R10""",336 700,17 185,341 384,16 890,341 580,20 362,336 896,20 659,336 700,17 185,341 384,16 890
"area: ""2R11""",341 384,16 890,346 069,16 595,346 264,20 067,341 580,20 364,341 384,16 890,346 069,16 595
"area: ""2R12""",346 069,16 595,350 753,16 300,350 949,19 772,346 264,20 069,346 069,16 595,350 755,16 331
"area: ""2R13""",350 753,16 300,355 437,16 005,355 633,19 477,350 949,19 773,350 755,16 331,355 441,16 067
"area: ""2R14""",355 439,16 036,360 124,15 741,360 319,19 213,355 635,19 510,355 441,16 067,360 124,15 741
